"cargo_type,cargo_weight_tons,shipping_month,origin_port,destination_port,origin_efficiency_score,destination_efficiency_score,avg_dwell_time_origin,customs_clearance_score,congestion_index,weather_risk_score,handling_complexity_score,delay,cargo_type_encoded,origin_port_encoded,destination_port_encoded"
"Standard,10.82,6,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.3,0,4,0,4"
"Perishable,13.68,1,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.9,0,3,5,0"
"Machinery,7.16,10,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Fragile,4.7,1,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.8,0,1,5,4"
"Fragile,8.72,1,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.8,1,1,0,5"
"Electronics,7.97,2,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.7,0,0,1,2"
"Fragile,18.79,10,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.8,0,1,2,5"
"Perishable,7.85,8,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.9,0,3,1,0"
"Electronics,12.38,7,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.7,1,0,3,5"
"Machinery,5.11,10,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Machinery,4.37,8,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Standard,9.14,7,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Electronics,2.62,3,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.7,0,0,2,1"
"Perishable,18.09,10,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.9,1,3,3,5"
"Machinery,12.0,6,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.5,0,2,2,1"
"Electronics,2.28,11,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.7,1,0,4,3"
"Machinery,17.75,11,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Machinery,19.54,1,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.5,1,2,4,2"
"Electronics,12.41,10,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Machinery,19.81,8,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.5,0,2,1,5"
"Electronics,19.41,12,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.7,0,0,2,5"
"Machinery,1.85,9,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.5,1,2,3,2"
"Perishable,1.88,6,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Standard,15.19,5,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.3,0,4,0,1"
"Machinery,11.06,8,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.5,0,2,5,2"
"Standard,17.34,3,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Machinery,16.52,2,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Electronics,13.9,2,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.7,0,0,1,4"
"Perishable,9.23,11,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Electronics,3.48,2,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.7,0,0,2,0"
"Electronics,16.1,11,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.7,1,0,4,2"
"Standard,6.18,1,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Machinery,11.38,10,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.5,1,2,4,2"
"Fragile,12.94,4,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Fragile,9.73,11,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.8,1,1,0,2"
"Machinery,3.76,9,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.5,0,2,2,1"
"Machinery,15.06,4,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.5,0,2,5,3"
"Fragile,2.15,11,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Machinery,5.28,2,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.5,0,2,0,2"
"Perishable,13.09,6,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.9,1,3,0,4"
"Perishable,17.91,5,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Fragile,9.16,1,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Electronics,15.95,12,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.7,0,0,5,3"
"Electronics,5.51,7,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.7,0,0,0,1"
"Machinery,6.24,3,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Electronics,4.83,2,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.7,0,0,0,5"
"Fragile,19.34,5,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.8,0,1,5,0"
"Electronics,6.81,4,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.7,0,0,2,1"
"Perishable,18.56,7,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.9,1,3,3,4"
"Machinery,13.77,1,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.5,1,2,3,2"
"Fragile,19.3,10,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.8,0,1,5,1"
"Machinery,8.62,6,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Machinery,12.67,1,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.5,0,2,0,5"
"Fragile,9.39,3,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.8,0,1,2,0"
"Standard,8.36,2,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.3,1,4,3,5"
"Machinery,12.39,5,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.5,1,2,4,3"
"Machinery,2.76,12,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Electronics,6.42,12,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.7,1,0,4,1"
"Fragile,2.7,4,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.8,1,1,0,2"
"Fragile,7.5,11,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.8,0,1,2,4"
"Perishable,17.56,9,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
"Machinery,7.03,12,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Electronics,7.58,5,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.7,1,0,3,1"
"Fragile,2.52,9,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.8,0,1,1,4"
"Fragile,5.07,5,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.8,1,1,4,3"
"Standard,6.85,7,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.3,0,4,1,5"
"Electronics,19.34,11,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.7,0,0,2,1"
"Electronics,16.82,4,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.7,0,0,1,3"
"Fragile,2.91,1,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.8,1,1,3,2"
"Machinery,17.03,5,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.5,1,2,3,0"
"Standard,5.59,2,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.3,0,4,2,5"
"Electronics,15.08,8,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.7,1,0,3,2"
"Fragile,14.3,9,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Standard,6.34,4,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.3,0,4,2,4"
"Fragile,4.23,9,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.8,1,1,4,0"
"Fragile,12.07,10,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.8,1,1,4,5"
"Fragile,5.6,8,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Perishable,2.52,10,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Machinery,14.43,11,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.5,1,2,3,5"
"Perishable,18.02,10,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.9,1,3,3,0"
"Perishable,19.68,10,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Perishable,13.22,9,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.9,1,3,3,5"
"Fragile,14.85,4,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.8,1,1,3,5"
"Perishable,4.32,12,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Electronics,4.53,9,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.7,0,0,5,3"
"Electronics,8.0,12,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.7,0,0,0,2"
"Standard,14.16,4,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.3,0,4,1,5"
"Perishable,3.94,8,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.9,0,3,1,2"
"Perishable,16.14,6,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.9,0,3,5,3"
"Machinery,4.65,5,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Perishable,1.96,2,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
"Machinery,13.5,5,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Electronics,15.85,3,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.7,0,0,0,5"
"Standard,11.99,9,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.3,0,4,5,0"
"Perishable,18.18,11,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Standard,1.9,4,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.3,0,4,1,5"
"Electronics,4.28,3,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.7,1,0,4,5"
"Machinery,17.48,9,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.5,0,2,5,3"
"Electronics,1.32,7,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.7,1,0,3,4"
"Standard,8.45,10,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.3,0,4,2,1"
"Fragile,16.22,5,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.8,0,1,1,2"
"Perishable,3.73,10,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Fragile,7.15,9,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.8,0,1,2,3"
"Perishable,5.2,1,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.9,0,3,2,4"
"Fragile,8.65,2,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.8,1,1,3,1"
"Machinery,8.68,6,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.5,0,2,5,1"
"Electronics,17.73,8,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.7,0,0,2,5"
"Fragile,2.46,10,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Electronics,16.13,4,Mundra,Chennai,0.9,0.7,1.0,0.95,0.2,0.3,0.7,0,0,5,0"
"Machinery,11.92,10,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.5,0,2,0,4"
"Perishable,19.13,3,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.9,0,3,5,3"
"Fragile,0.71,10,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Machinery,7.43,11,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Perishable,13.74,10,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.9,0,3,2,5"
"Standard,18.49,8,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.3,0,4,5,2"
"Electronics,19.31,2,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Electronics,9.02,5,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.7,0,0,1,4"
"Machinery,1.97,12,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.5,1,2,3,4"
"Standard,15.23,7,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.3,1,4,4,2"
"Machinery,5.68,11,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.5,0,2,1,0"
"Fragile,7.28,12,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.8,0,1,2,1"
"Electronics,1.67,1,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.7,0,0,2,4"
"Perishable,16.19,8,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Machinery,6.06,4,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Standard,13.6,4,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.3,1,4,4,5"
"Standard,15.77,9,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.3,1,4,3,1"
"Perishable,14.53,2,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.9,0,3,5,1"
"Machinery,17.04,9,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.5,0,2,1,5"
"Standard,16.92,6,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.3,0,4,1,4"
"Machinery,4.22,8,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Standard,6.84,12,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.3,0,4,2,3"
"Machinery,2.09,9,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Fragile,3.27,11,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.8,0,1,1,2"
"Machinery,19.04,7,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.5,0,2,0,2"
"Fragile,2.48,9,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Electronics,1.19,1,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.7,0,0,0,4"
"Fragile,11.28,9,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.8,1,1,0,2"
"Fragile,3.51,10,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Fragile,6.04,2,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.8,1,1,3,0"
"Standard,9.62,7,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.3,1,4,3,2"
"Fragile,3.67,9,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.8,1,1,4,5"
"Electronics,8.75,2,Mumbai,Mundra,0.65,0.9,2.5,0.6,0.6,0.5,0.7,1,0,4,5"
"Perishable,12.29,5,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.9,0,3,5,1"
"Fragile,10.05,5,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Electronics,14.29,9,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.7,0,0,2,1"
"Perishable,1.97,12,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.9,1,3,4,3"
"Machinery,9.83,4,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.5,0,2,2,5"
"Standard,4.58,2,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.3,0,4,5,3"
"Machinery,11.66,7,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.5,0,2,0,1"
"Perishable,12.71,1,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.9,0,3,5,4"
"Machinery,18.58,2,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.5,0,2,5,1"
"Machinery,14.71,1,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.5,0,2,1,4"
"Perishable,11.86,5,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Fragile,4.81,5,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.8,1,1,3,0"
"Machinery,6.7,2,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Standard,8.87,11,Kolkata,Chennai,0.6,0.7,3.0,0.5,0.7,0.8,0.3,1,4,3,0"
"Machinery,12.9,4,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Machinery,16.71,3,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.5,1,2,4,1"
"Standard,10.62,1,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.3,0,4,1,4"
"Perishable,11.31,8,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Standard,17.29,4,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.3,1,4,4,0"
"Standard,1.53,1,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.3,1,4,3,4"
"Electronics,11.3,5,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.7,0,0,5,1"
"Standard,4.38,5,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Electronics,10.96,9,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.7,0,0,2,3"
"Standard,7.25,2,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.3,0,4,0,1"
"Machinery,8.03,8,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
"Machinery,9.81,6,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.5,0,2,5,3"
"Machinery,7.45,2,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.5,0,2,2,0"
"Standard,0.59,1,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.3,0,4,5,2"
"Machinery,16.37,5,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.5,0,2,1,5"
"Fragile,10.98,4,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.8,0,1,2,4"
"Machinery,11.37,10,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Machinery,2.31,4,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Perishable,2.54,1,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.9,0,3,1,3"
"Perishable,5.18,5,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Perishable,4.91,2,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.9,0,3,2,1"
"Machinery,18.4,9,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.5,0,2,5,4"
"Fragile,1.15,1,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.8,0,1,1,3"
"Perishable,16.71,9,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.9,1,3,3,2"
"Electronics,4.48,12,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.7,0,0,0,2"
"Fragile,10.99,12,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.8,1,1,4,0"
"Standard,0.91,10,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.3,0,4,2,1"
"Electronics,8.43,8,Kolkata,Mundra,0.6,0.9,3.0,0.5,0.7,0.8,0.7,1,0,3,5"
"Fragile,11.9,12,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.8,0,1,5,3"
"Perishable,13.91,9,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.9,0,3,5,3"
"Standard,12.01,11,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.3,0,4,2,3"
"Perishable,12.0,9,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Fragile,10.97,4,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.8,1,1,4,1"
"Electronics,7.77,11,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.7,0,0,1,3"
"Perishable,14.57,1,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.9,0,3,5,1"
"Perishable,11.5,7,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Perishable,4.07,12,Cochin,Mundra,0.75,0.9,1.8,0.75,0.4,0.6,0.9,0,3,1,5"
"Standard,13.27,1,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.3,1,4,4,3"
"Standard,13.05,11,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.3,0,4,0,3"
"Fragile,9.29,9,Mumbai,JNPT,0.65,0.85,2.5,0.6,0.6,0.5,0.8,1,1,4,2"
"Perishable,2.14,9,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.9,1,3,4,1"
"Perishable,1.09,8,Mundra,JNPT,0.9,0.85,1.0,0.95,0.2,0.3,0.9,0,3,5,2"
"Electronics,4.61,4,JNPT,Cochin,0.85,0.75,1.2,0.9,0.3,0.4,0.7,0,0,2,1"
"Machinery,7.1,9,Chennai,Mumbai,0.7,0.65,2.1,0.7,0.5,0.6,0.5,0,2,0,4"
"Fragile,1.53,2,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.8,0,1,2,4"
"Machinery,7.33,10,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.5,0,2,2,3"
"Electronics,5.66,7,Mumbai,Kolkata,0.65,0.6,2.5,0.6,0.6,0.5,0.7,1,0,4,3"
"Perishable,7.93,6,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Electronics,9.26,5,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.7,0,0,0,1"
"Standard,15.83,11,JNPT,Mumbai,0.85,0.65,1.2,0.9,0.3,0.4,0.3,0,4,2,4"
"Machinery,8.81,11,Kolkata,JNPT,0.6,0.85,3.0,0.5,0.7,0.8,0.5,1,2,3,2"
"Standard,17.61,8,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.3,0,4,1,0"
"Perishable,19.96,3,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.9,0,3,1,3"
"Machinery,0.8,7,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.5,0,2,2,5"
"Fragile,11.79,10,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.8,1,1,4,0"
"Perishable,13.69,1,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.9,0,3,5,4"
"Fragile,16.16,3,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.8,0,1,5,3"
"Electronics,3.45,10,Mumbai,Cochin,0.65,0.75,2.5,0.6,0.6,0.5,0.7,1,0,4,1"
"Standard,3.08,3,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.3,0,4,5,3"
"Electronics,13.01,9,Cochin,Chennai,0.75,0.7,1.8,0.75,0.4,0.6,0.7,0,0,1,0"
"Fragile,11.47,7,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.8,0,1,5,4"
"Perishable,13.8,3,Kolkata,Cochin,0.6,0.75,3.0,0.5,0.7,0.8,0.9,1,3,3,1"
"Standard,8.74,6,Chennai,Cochin,0.7,0.75,2.1,0.7,0.5,0.6,0.3,0,4,0,1"
"Perishable,13.92,8,Chennai,Mundra,0.7,0.9,2.1,0.7,0.5,0.6,0.9,1,3,0,5"
"Fragile,9.05,12,Mundra,Kolkata,0.9,0.6,1.0,0.95,0.2,0.3,0.8,0,1,5,3"
"Perishable,6.52,5,JNPT,Kolkata,0.85,0.6,1.2,0.9,0.3,0.4,0.9,0,3,2,3"
"Electronics,8.32,11,Cochin,JNPT,0.75,0.85,1.8,0.75,0.4,0.6,0.7,0,0,1,2"
"Fragile,16.4,3,Mundra,Mumbai,0.9,0.65,1.0,0.95,0.2,0.3,0.8,0,1,5,4"
"Machinery,11.65,3,Mumbai,Chennai,0.65,0.7,2.5,0.6,0.6,0.5,0.5,1,2,4,0"
"Perishable,10.73,3,Cochin,Mumbai,0.75,0.65,1.8,0.75,0.4,0.6,0.9,0,3,1,4"
"Electronics,1.0,11,Mundra,Cochin,0.9,0.75,1.0,0.95,0.2,0.3,0.7,0,0,5,1"
"Fragile,17.53,6,Chennai,JNPT,0.7,0.85,2.1,0.7,0.5,0.6,0.8,1,1,0,2"
"Perishable,5.94,12,JNPT,Chennai,0.85,0.7,1.2,0.9,0.3,0.4,0.9,0,3,2,0"
"Standard,8.69,5,JNPT,Mundra,0.85,0.9,1.2,0.9,0.3,0.4,0.3,0,4,2,5"
"Standard,13.9,4,Chennai,Kolkata,0.7,0.6,2.1,0.7,0.5,0.6,0.3,0,4,0,3"
"Electronics,18.75,7,Kolkata,Mumbai,0.6,0.65,3.0,0.5,0.7,0.8,0.7,1,0,3,4"
"Machinery,14.93,6,Cochin,Kolkata,0.75,0.6,1.8,0.75,0.4,0.6,0.5,0,2,1,3"
